frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.protocols,frame.len,Source_File
2021-08-17T01:58:17.204707000+0530,52.109.76.30,10.10.0.33,443,53456,,,eth:ethertype:ip:tcp:tls,161,traffic_segment_1.csv
2021-08-17T01:58:17.206322000+0530,10.10.0.33,52.109.76.30,53456,443,,,eth:ethertype:ip:tcp:tls,747,traffic_segment_1.csv
2021-08-17T01:58:17.228282000+0530,52.109.76.30,10.10.0.33,443,53456,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:17.228285000+0530,52.109.76.30,10.10.0.33,443,53456,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:17.228286000+0530,52.109.76.30,10.10.0.33,443,53456,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:17.228287000+0530,52.109.76.30,10.10.0.33,443,53456,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:17.228288000+0530,52.109.76.30,10.10.0.33,443,53456,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:17.228299000+0530,52.109.76.30,10.10.0.33,443,53456,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:17.228300000+0530,52.109.76.30,10.10.0.33,443,53456,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:17.228314000+0530,52.109.76.30,10.10.0.33,443,53456,,,eth:ethertype:ip:tcp:tls,1311,traffic_segment_1.csv
2021-08-17T01:58:17.228926000+0530,10.10.0.33,52.109.76.30,53456,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:17.229226000+0530,10.10.0.33,52.109.76.30,53456,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:17.229411000+0530,10.10.0.33,52.109.76.30,53456,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:17.229613000+0530,10.10.0.33,52.109.76.30,53456,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:17.422293000+0530,13.107.42.23,10.10.0.33,443,53455,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:17.422295000+0530,13.107.42.23,10.10.0.33,443,53455,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:17.422297000+0530,13.107.42.23,10.10.0.33,443,53455,,,eth:ethertype:ip:tcp:tls,988,traffic_segment_1.csv
2021-08-17T01:58:17.422390000+0530,13.107.42.23,10.10.0.33,443,53455,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:17.422393000+0530,13.107.42.23,10.10.0.33,443,53455,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:17.422394000+0530,13.107.42.23,10.10.0.33,443,53455,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:17.422395000+0530,13.107.42.23,10.10.0.33,443,53455,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:17.422396000+0530,13.107.42.23,10.10.0.33,443,53455,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:17.422427000+0530,13.107.42.23,10.10.0.33,443,53455,,,eth:ethertype:ip:tcp:tls,975,traffic_segment_1.csv
2021-08-17T01:58:17.422436000+0530,13.107.42.23,10.10.0.33,443,53455,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:17.422437000+0530,13.107.42.23,10.10.0.33,443,53455,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:17.422438000+0530,13.107.42.23,10.10.0.33,443,53455,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:17.422439000+0530,13.107.42.23,10.10.0.33,443,53455,,,eth:ethertype:ip:tcp:tls,197,traffic_segment_1.csv
2021-08-17T01:58:17.422619000+0530,10.10.0.33,13.107.42.23,53455,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:17.422629000+0530,13.107.42.23,10.10.0.33,443,53455,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:17.422632000+0530,13.107.42.23,10.10.0.33,443,53455,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:17.422633000+0530,13.107.42.23,10.10.0.33,443,53455,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:17.422634000+0530,13.107.42.23,10.10.0.33,443,53455,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:17.422635000+0530,13.107.42.23,10.10.0.33,443,53455,,,eth:ethertype:ip:tcp:tls,562,traffic_segment_1.csv
2021-08-17T01:58:17.422875000+0530,10.10.0.33,13.107.42.23,53455,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:17.423076000+0530,10.10.0.33,13.107.42.23,53455,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:17.423325000+0530,10.10.0.33,13.107.42.23,53455,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:17.424168000+0530,10.10.0.33,13.107.42.23,53455,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:17.424199000+0530,10.10.0.33,13.107.42.23,53455,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:17.424228000+0530,10.10.0.33,13.107.42.23,53455,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:17.424252000+0530,10.10.0.33,13.107.42.23,53455,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:17.424379000+0530,10.10.0.33,13.107.42.23,53455,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:17.706901000+0530,10.10.0.33,239.255.255.250,,,52462,1900,eth:ethertype:ip:udp:ssdp,179,traffic_segment_1.csv
2021-08-17T01:58:17.718607000+0530,10.10.0.33,239.255.255.250,,,52462,1900,eth:ethertype:ip:udp:ssdp,179,traffic_segment_1.csv
2021-08-17T01:58:17.875036000+0530,10.10.0.33,8.8.8.8,,,56672,53,eth:ethertype:ip:udp:dns,76,traffic_segment_1.csv
2021-08-17T01:58:17.886272000+0530,8.8.8.8,10.10.0.33,,,53,56672,eth:ethertype:ip:udp:dns,171,traffic_segment_1.csv
2021-08-17T01:58:17.914687000+0530,10.10.0.33,239.255.255.250,,,52462,1900,eth:ethertype:ip:udp:ssdp,179,traffic_segment_1.csv
2021-08-17T01:58:20.371160000+0530,10.10.0.33,8.8.8.8,,,61276,53,eth:ethertype:ip:udp:dns,76,traffic_segment_1.csv
2021-08-17T01:58:20.394518000+0530,8.8.8.8,10.10.0.33,,,53,61276,eth:ethertype:ip:udp:dns,283,traffic_segment_1.csv
2021-08-17T01:58:20.395951000+0530,10.10.0.33,88.221.0.167,53461,443,,,eth:ethertype:ip:tcp,66,traffic_segment_1.csv
2021-08-17T01:58:20.405421000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp,66,traffic_segment_1.csv
2021-08-17T01:58:20.405755000+0530,10.10.0.33,88.221.0.167,53461,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:20.407661000+0530,10.10.0.33,88.221.0.167,53461,443,,,eth:ethertype:ip:tcp:tls,235,traffic_segment_1.csv
2021-08-17T01:58:20.417124000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp,54,traffic_segment_1.csv
2021-08-17T01:58:20.417639000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp:tls,1514,traffic_segment_1.csv
2021-08-17T01:58:20.417645000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:20.417651000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp:tls:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:tls:x509ce:x509ce:pkix1implicit:x509ce:x509ce:x509ce:x509ce:x509ce:pkix1explicit:x509ce:x509ce:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:x509ce:x509ce:x509ce:x509ce:x509ce:pkix1implicit:x509ce:x509ce,1230,traffic_segment_1.csv
2021-08-17T01:58:20.418135000+0530,10.10.0.33,88.221.0.167,53461,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:20.418805000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp:tls:ocsp:x509sat:x509sat:x509sat:x509sat:x509ce:x509ce:x509ce:ocsp:x509ce:x509ce:x509ce,1514,traffic_segment_1.csv
2021-08-17T01:58:20.419056000+0530,10.10.0.33,88.221.0.167,53461,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:20.427630000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp:tls:tls,396,traffic_segment_1.csv
2021-08-17T01:58:20.436970000+0530,10.10.0.33,88.221.0.167,53461,443,,,eth:ethertype:ip:tcp:tls,180,traffic_segment_1.csv
2021-08-17T01:58:20.446401000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp,54,traffic_segment_1.csv
2021-08-17T01:58:20.446645000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp:tls,312,traffic_segment_1.csv
2021-08-17T01:58:20.458635000+0530,10.10.0.33,88.221.0.167,53461,443,,,eth:ethertype:ip:tcp:tls,244,traffic_segment_1.csv
2021-08-17T01:58:20.468078000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp,54,traffic_segment_1.csv
2021-08-17T01:58:20.468764000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp:tls,473,traffic_segment_1.csv
2021-08-17T01:58:20.524184000+0530,10.10.0.33,88.221.0.167,53461,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:20.696076000+0530,10.10.0.33,239.255.255.250,,,52462,1900,eth:ethertype:ip:udp:ssdp,179,traffic_segment_1.csv
2021-08-17T01:58:20.711745000+0530,10.10.0.33,239.255.255.250,,,52462,1900,eth:ethertype:ip:udp:ssdp,179,traffic_segment_1.csv
2021-08-17T01:58:20.914706000+0530,10.10.0.33,239.255.255.250,,,52462,1900,eth:ethertype:ip:udp:ssdp,179,traffic_segment_1.csv
2021-08-17T01:58:21.151166000+0530,10.10.0.33,88.221.0.167,53461,443,,,eth:ethertype:ip:tcp:tls,295,traffic_segment_1.csv
2021-08-17T01:58:21.160704000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp,54,traffic_segment_1.csv
2021-08-17T01:58:21.161176000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp:tls,526,traffic_segment_1.csv
2021-08-17T01:58:21.211494000+0530,10.10.0.33,88.221.0.167,53461,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:21.966806000+0530,10.10.0.33,88.221.0.167,53461,443,,,eth:ethertype:ip:tcp:tls,253,traffic_segment_1.csv
2021-08-17T01:58:21.976890000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp:tls,486,traffic_segment_1.csv
2021-08-17T01:58:22.023898000+0530,10.10.0.33,88.221.0.167,53461,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:22.556295000+0530,10.10.0.33,18.184.26.60,53462,443,,,eth:ethertype:ip:tcp,66,traffic_segment_1.csv
2021-08-17T01:58:22.556388000+0530,10.10.0.33,18.184.26.60,53463,443,,,eth:ethertype:ip:tcp,66,traffic_segment_1.csv
2021-08-17T01:58:23.571821000+0530,10.10.0.33,18.184.26.60,53462,443,,,eth:ethertype:ip:tcp,66,traffic_segment_1.csv
2021-08-17T01:58:23.571957000+0530,10.10.0.33,18.184.26.60,53463,443,,,eth:ethertype:ip:tcp,66,traffic_segment_1.csv
2021-08-17T01:58:23.711613000+0530,10.10.0.33,239.255.255.250,,,52462,1900,eth:ethertype:ip:udp:ssdp,179,traffic_segment_1.csv
2021-08-17T01:58:23.711865000+0530,10.10.0.33,239.255.255.250,,,52462,1900,eth:ethertype:ip:udp:ssdp,179,traffic_segment_1.csv
2021-08-17T01:58:25.586314000+0530,10.10.0.33,18.184.26.60,53462,443,,,eth:ethertype:ip:tcp,66,traffic_segment_1.csv
2021-08-17T01:58:25.586383000+0530,10.10.0.33,18.184.26.60,53463,443,,,eth:ethertype:ip:tcp,66,traffic_segment_1.csv
2021-08-17T01:58:26.081968000+0530,10.10.0.33,88.221.0.167,53461,443,,,eth:ethertype:ip:tcp:tls,325,traffic_segment_1.csv
2021-08-17T01:58:26.092580000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:26.092588000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:26.092589000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:26.092596000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:26.092597000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:26.092694000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:26.092717000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:26.092718000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:26.092720000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:26.093030000+0530,10.10.0.33,88.221.0.167,53461,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:26.093254000+0530,10.10.0.33,88.221.0.167,53461,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:26.093452000+0530,10.10.0.33,88.221.0.167,53461,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:26.093456000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:26.093462000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:26.093463000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp:tls,1514,traffic_segment_1.csv
2021-08-17T01:58:26.093682000+0530,10.10.0.33,88.221.0.167,53461,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:26.094145000+0530,10.10.0.33,88.221.0.167,53461,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:26.094180000+0530,10.10.0.33,88.221.0.167,53461,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:26.094305000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:26.094308000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:26.094310000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:26.094527000+0530,10.10.0.33,88.221.0.167,53461,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
