frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.protocols,frame.len
2021-08-17T02:00:16.577217000+0530,,,,,,,eth:ethertype:arp,42
2021-08-17T02:01:06.761779000+0530,,,,,,,eth:ethertype:arp,42
2021-08-17T02:01:33.889262000+0530,,,,,,,eth:ethertype:arp,42
2021-08-17T02:02:22.785213000+0530,,,,,,,eth:ethertype:arp,42
2021-08-17T02:02:51.761898000+0530,,,,,,,eth:ethertype:arp,42
2021-08-17T02:03:12.449211000+0530,,,,,,,eth:ethertype:arp,42
2021-08-17T02:04:01.089211000+0530,,,,,,,eth:ethertype:arp,42
2021-08-17T02:04:35.261836000+0530,,,,,,,eth:ethertype:arp,42
2021-08-17T02:04:50.753207000+0530,,,,,,,eth:ethertype:arp,42
2021-08-17T02:05:39.649233000+0530,,,,,,,eth:ethertype:arp,42
2021-08-17T02:06:14.721228000+0530,,,,,,,eth:ethertype:arp,42
2021-08-17T02:06:31.761722000+0530,,,,,,,eth:ethertype:arp,42
2021-08-17T02:06:43.137204000+0530,,,,,,,eth:ethertype:arp,42
2021-08-17T02:06:52.761842000+0530,,,,,,,eth:ethertype:arp,42
2021-08-17T02:07:10.017205000+0530,,,,,,,eth:ethertype:arp,42
2021-08-17T02:07:38.433213000+0530,,,,,,,eth:ethertype:arp,42
2021-08-17T02:08:06.081204000+0530,,,,,,,eth:ethertype:arp,42
2021-08-17T01:59:27.109906000+0530,204.79.197.200,10.10.0.33,443,53483,,,eth:ethertype:ip:tcp,54
2021-08-17T01:59:28.029211000+0530,2.18.105.186,10.10.0.33,443,53486,,,eth:ethertype:ip:tcp,54
2021-08-17T01:59:28.029949000+0530,2.18.105.186,10.10.0.33,443,53487,,,eth:ethertype:ip:tcp,54
2021-08-17T01:59:28.067582000+0530,93.184.220.29,10.10.0.33,80,53469,,,eth:ethertype:ip:tcp,54
2021-08-17T01:59:28.082392000+0530,2.18.105.186,10.10.0.33,443,53486,,,eth:ethertype:ip:tcp,54
2021-08-17T01:59:28.082573000+0530,2.18.105.186,10.10.0.33,443,53487,,,eth:ethertype:ip:tcp,54
2021-08-17T01:59:28.082819000+0530,2.18.105.186,10.10.0.33,443,53486,,,eth:ethertype:ip:tcp,54
2021-08-17T01:59:28.089931000+0530,204.79.197.200,10.10.0.33,443,53483,,,eth:ethertype:ip:tcp,54
2021-08-17T01:59:28.167748000+0530,92.122.253.175,10.10.0.33,80,53488,,,eth:ethertype:ip:tcp,54
2021-08-17T01:59:48.029563000+0530,2.18.105.186,10.10.0.33,443,53487,,,eth:ethertype:ip:tcp,54
2021-08-17T01:59:49.278259000+0530,67.27.153.254,10.10.0.33,80,53500,,,eth:ethertype:ip:tcp,54
2021-08-17T01:59:49.633416000+0530,72.21.81.200,10.10.0.33,443,53467,,,eth:ethertype:ip:tcp,54
2021-08-17T01:59:53.212294000+0530,72.21.81.200,10.10.0.33,443,53470,,,eth:ethertype:ip:tcp,54
2021-08-17T01:59:57.739264000+0530,13.107.5.80,10.10.0.33,80,53473,,,eth:ethertype:ip:tcp,54
2021-08-17T02:00:07.126747000+0530,52.109.76.30,10.10.0.33,443,53456,,,eth:ethertype:ip:tcp,54
2021-08-17T02:00:08.335904000+0530,2.18.105.186,10.10.0.33,443,53487,,,eth:ethertype:ip:tcp,54
2021-08-17T02:00:08.336526000+0530,18.184.26.60,10.10.0.33,80,53478,,,eth:ethertype:ip:tcp,54
